Name,Created,Primary location,Tags,URL
Platform Engineering and DevOps - Hampton Roads,"September 17, 2024 10:25 PM",,DevOps,https://www.meetup.com/platform-eng-and-devops/
Norfolk.js,"September 17, 2024 10:25 PM",,"Javascript, Web development",https://www.meetup.com/NorfolkJS/
757ColorCoded,"September 17, 2024 10:25 PM",,"DEI, General, Learning",https://www.meetup.com/757colorcoded/
Hampton Roads Cyber Security for Control Systems,"September 17, 2024 10:55 PM",,Cyber Security,https://www.meetup.com/norfolk-cyber-security-for-control-systems/
Hampton Roads .NET User Group,"September 17, 2024 10:56 PM",,.NET,https://www.meetup.com/hampton-roads-net-users-group/
"
Hampton Roads SQL Server User Group","September 17, 2024 10:58 PM",,SQL,https://www.meetup.com/Hampton-Roads-SQL-Server-User-Group/
Hampton Roads Amazon Web Services User Group,"September 17, 2024 10:59 PM",,AWS,https://www.meetup.com/hampton-roads-amazon-web-services-user-group/
Hampton Roads Azure Users Group,"September 20, 2024 7:23 PM","Marathon Consulting, 4525 Columbus St #200, Virginia Beach, VA 23462","Azure, Cloud",https://www.meetup.com/hampton-roads-azure-users-group/
Digital Builders 757,"September 17, 2024 11:07 PM",,General,https://www.meetup.com/digital-builders-757/
757 Developers,"September 17, 2024 11:11 PM",,General,https://www.meetup.com/757dev/
WordPress Hampton Roads,"September 17, 2024 11:17 PM",,,https://www.meetup.com/WordPresshr/
